mouthOpeningValue,mouthWidth,lengthFromMouthToNose,mouthAngle,smilingProbability,cheekWidth,lengthFromCheekToEye,leftEyeOpeningValue,rightEyeOpeningValue,lengthFromEyebrowsToNose,emotionName
9.75,31.76,21.05,100.62,9.94,46.47,22.81,0.91,1.06,23.63,interesting
0.65,31.03,18.82,132.40,0.21,50.57,24.71,1.10,1.03,31.65,neutral
0.11,30.00,18.78,134.32,0.04,50.00,24.11,1.59,1.55,30.91,neutral
0.78,29.69,22.27,131.81,0.26,50.00,25.00,1.37,1.27,28.05,neutral
0.14,28.21,17.95,122.78,0.10,50.00,25.00,1.68,1.44,31.67,neutral
0.85,28.79,20.00,134.24,0.18,48.48,24.62,1.44,1.35,31.69,neutral
0.88,29.00,16.34,138.37,0.03,47.00,23.76,1.55,1.24,31.78,neutral
0.16,32.86,19.29,129.09,0.32,51.43,23.57,0.98,1.07,27.86,neutral
0.61,30.14,19.18,140.03,0.05,50.68,24.66,1.37,1.20,30.68,neutral
0.83,30.35,16.94,122.75,0.12,51.76,23.75,1.67,1.46,33.53,neutral
0.51,27.54,15.48,121.29,0.62,48.48,23.39,1.60,1.43,33.62,neutral
0.47,25.08,17.89,126.58,0.25,48.35,23.16,1.88,1.63,32.42,neutral
0.60,28.97,20.61,131.33,0.12,46.21,23.99,1.39,1.18,30.41,neutral
0.24,28.37,21.63,149.08,0.06,47.52,23.05,0.98,1.24,24.54,neutral
0.69,30.14,15.71,123.54,7.78,48.80,22.38,1.90,1.67,32.33,neutral
0.94,29.58,17.61,125.02,0.28,52.11,23.94,1.58,1.41,32.96,neutral
0.43,32.26,14.75,128.02,0.10,51.01,23.54,1.68,1.54,33.45,neutral
0.33,27.94,15.44,130.60,0.05,47.06,23.53,1.47,1.29,33.24,neutral
1.15,29.89,17.82,112.71,7.84,49.43,25.29,0.79,0.93,32.18,neutral
0.43,31.83,18.77,137.51,0.21,50.75,23.57,1.99,1.80,32.67,neutral
0.64,30.03,19.11,126.90,0.04,49.15,24.57,1.81,1.60,30.65,neutral
0.68,27.59,17.22,125.68,0.21,48.10,23.04,1.93,1.66,33.52,neutral
0.35,29.53,13.46,121.20,0.22,49.35,24.55,1.28,1.13,35.78,neutral
0.32,31.68,13.51,139.59,3.82,48.70,21.92,1.41,1.29,30.55,neutral
